concept:name,starttime,sensor,endtime,Translate01,Translate02,duration,daycase,time:timestamp
Wash_Dinner_Dishes,2011-06-16 20:11:43,M007,2011-06-16 20:25:27,Kitchen,Kitchen,0 days 00:13:44,2011-6-16,2011-06-16 20:11:43
Toilet,2011-06-16 20:25:46,MA013,2011-06-16 20:28:11,Bathroom,Bathroom,0 days 00:02:25,2011-6-16,2011-06-16 20:25:46
Drink,2011-06-16 20:31:32,M007,2011-06-16 20:34:02,Kitchen,Kitchen,0 days 00:02:30,2011-6-16,2011-06-16 20:31:32
Personal_Hygiene,2011-06-16 20:35:06,MA009,2011-06-16 20:35:38,Bathroom,Bathroom,0 days 00:00:32,2011-6-16,2011-06-16 20:35:06
Wash_Dishes,2011-06-16 20:36:08,M007,2011-06-16 20:39:34,Kitchen,Kitchen,0 days 00:03:26,2011-6-16,2011-06-16 20:36:08
Personal_Hygiene,2011-06-16 20:40:00,MA009,2011-06-16 20:40:25,Bathroom,Bathroom,0 days 00:00:25,2011-6-16,2011-06-16 20:40:00
Wash_Dishes,2011-06-16 20:40:53,M007,2011-06-16 20:47:58,Kitchen,Kitchen,0 days 00:07:05,2011-6-16,2011-06-16 20:40:53
Toilet,2011-06-16 20:49:29,MA013,2011-06-16 20:50:19,Bathroom,Bathroom,0 days 00:00:50,2011-6-16,2011-06-16 20:49:29
Dress,2011-06-16 20:50:23,MA020,2011-06-16 20:51:22,Bedroom,Bedroom,0 days 00:00:59,2011-6-16,2011-06-16 20:50:23
Relax,2011-06-16 20:51:43,M004,2011-06-16 21:03:27,LivingRoom,Chair,0 days 00:11:44,2011-6-16,2011-06-16 20:51:43
Personal_Hygiene,2011-06-16 21:05:56,MA013,2011-06-16 21:15:45,Bathroom,Bathroom,0 days 00:09:49,2011-6-16,2011-06-16 21:05:56
Groom,2011-06-16 21:19:50,MA013,2011-06-16 21:50:56,Bathroom,Bathroom,0 days 00:31:06,2011-6-16,2011-06-16 21:19:50
Sleep,2011-06-16 21:52:14,MA020,2011-06-16 23:59:59,Bedroom,Bed,0 days 02:07:45,2011-6-16,2011-06-16 21:52:14
Sleep,2011-06-17 00:00:00,MA020,2011-06-17 04:35:20,,,0 days 04:35:20,2011-6-17,2011-06-17 00:00:00
Bed_Toilet_Transition,2011-06-17 04:35:43,MA013,2011-06-17 04:38:44,Bathroom,Bathroom,0 days 00:03:01,2011-6-17,2011-06-17 04:35:43
Sleep,2011-06-17 04:39:15,M021,2011-06-17 08:22:40,Bedroom,Bed,0 days 03:43:25,2011-6-17,2011-06-17 04:39:15
Toilet,2011-06-17 08:23:06,MA013,2011-06-17 08:26:20,Bathroom,Bathroom,0 days 00:03:14,2011-6-17,2011-06-17 08:23:06
Morning_Meds,2011-06-17 08:27:21,MA013,2011-06-17 08:28:10,Bathroom,Bathroom,0 days 00:00:49,2011-6-17,2011-06-17 08:27:21
Read,2011-06-17 08:30:21,MA020,2011-06-17 09:52:42,Bedroom,Bed,0 days 01:22:21,2011-6-17,2011-06-17 08:30:21
Toilet,2011-06-17 09:53:22,MA013,2011-06-17 09:58:27,Bathroom,Bathroom,0 days 00:05:05,2011-6-17,2011-06-17 09:53:22
Personal_Hygiene,2011-06-17 10:02:08,MA013,2011-06-17 10:02:49,Bathroom,Bathroom,0 days 00:00:41,2011-6-17,2011-06-17 10:02:08
Cook_Breakfast,2011-06-17 10:03:38,M006,2011-06-17 10:08:02,Kitchen,Kitchen,0 days 00:04:24,2011-6-17,2011-06-17 10:03:38
Eat_Breakfast,2011-06-17 10:08:29,M005,2011-06-17 10:21:56,DiningRoom,DiningRoom,0 days 00:13:27,2011-6-17,2011-06-17 10:08:29
Work_At_Table,2011-06-17 10:22:17,M005,2011-06-17 10:28:29,DiningRoom,DiningRoom,0 days 00:06:12,2011-6-17,2011-06-17 10:22:17
Drink,2011-06-17 10:28:40,M007,2011-06-17 10:30:49,Kitchen,Kitchen,0 days 00:02:09,2011-6-17,2011-06-17 10:28:40
Work_At_Table,2011-06-17 10:31:25,M005,2011-06-17 10:47:42,DiningRoom,DiningRoom,0 days 00:16:17,2011-6-17,2011-06-17 10:31:25
Relax,2011-06-17 10:47:46,M004,2011-06-17 12:32:09,LivingRoom,Chair,0 days 01:44:23,2011-6-17,2011-06-17 10:47:46
Toilet,2011-06-17 12:32:16,MA009,2011-06-17 12:32:34,Bathroom,Bathroom,0 days 00:00:18,2011-6-17,2011-06-17 12:32:16
Take_Medicine,2011-06-17 12:33:45,MA009,2011-06-17 12:35:00,Bathroom,Bathroom,0 days 00:01:15,2011-6-17,2011-06-17 12:33:45
Drink,2011-06-17 12:35:08,M006,2011-06-17 12:36:53,Kitchen,Kitchen,0 days 00:01:45,2011-6-17,2011-06-17 12:35:08
Relax,2011-06-17 12:37:09,M004,2011-06-17 14:04:19,LivingRoom,Chair,0 days 01:27:10,2011-6-17,2011-06-17 12:37:09
Toilet,2011-06-17 14:04:25,MA009,2011-06-17 14:06:35,Bathroom,Bathroom,0 days 00:02:10,2011-6-17,2011-06-17 14:04:25
Cook_Lunch,2011-06-17 14:07:27,M007,2011-06-17 14:13:57,Kitchen,Kitchen,0 days 00:06:30,2011-6-17,2011-06-17 14:07:27
Eat_Lunch,2011-06-17 14:14:40,M005,2011-06-17 14:30:16,DiningRoom,DiningRoom,0 days 00:15:36,2011-6-17,2011-06-17 14:14:40
Wash_Lunch_Dishes,2011-06-17 14:30:31,M007,2011-06-17 14:37:41,Kitchen,Kitchen,0 days 00:07:10,2011-6-17,2011-06-17 14:30:31
Personal_Hygiene,2011-06-17 14:39:12,MA013,2011-06-17 14:39:29,Bathroom,Bathroom,0 days 00:00:17,2011-6-17,2011-06-17 14:39:12
Work,2011-06-17 14:39:31,MA014,2011-06-17 14:56:19,WorkArea,Hall,0 days 00:16:48,2011-6-17,2011-06-17 14:39:31
Toilet,2011-06-17 14:56:19,MA013,2011-06-17 14:56:38,Bathroom,Bathroom,0 days 00:00:19,2011-6-17,2011-06-17 14:56:19
Relax,2011-06-17 14:58:19,M004,2011-06-17 15:50:55,LivingRoom,Chair,0 days 00:52:36,2011-6-17,2011-06-17 14:58:19
Cook,2011-06-17 15:50:59,M007,2011-06-17 15:56:17,Kitchen,Kitchen,0 days 00:05:18,2011-6-17,2011-06-17 15:50:59
Eat,2011-06-17 15:56:32,M004,2011-06-17 15:58:06,LivingRoom,Chair,0 days 00:01:34,2011-6-17,2011-06-17 15:56:32
Relax,2011-06-17 16:41:52,M004,2011-06-17 17:14:33,LivingRoom,Chair,0 days 00:32:41,2011-6-17,2011-06-17 16:41:52
Personal_Hygiene,2011-06-17 17:15:28,MA013,2011-06-17 17:25:26,Bathroom,Bathroom,0 days 00:09:58,2011-6-17,2011-06-17 17:15:28
Relax,2011-06-17 17:25:40,M004,2011-06-17 17:44:15,LivingRoom,Chair,0 days 00:18:35,2011-6-17,2011-06-17 17:25:40
Watch_TV,2011-06-17 17:45:40,M004,2011-06-17 17:58:26,LivingRoom,Chair,0 days 00:12:46,2011-6-17,2011-06-17 17:45:40
Toilet,2011-06-17 17:58:36,MA009,2011-06-17 18:01:03,Bathroom,Bathroom,0 days 00:02:27,2011-6-17,2011-06-17 17:58:36
Personal_Hygiene,2011-06-17 18:01:43,MA013,2011-06-17 18:02:02,Bathroom,Bathroom,0 days 00:00:19,2011-6-17,2011-06-17 18:01:43
Cook_Dinner,2011-06-17 18:05:35,M008,2011-06-17 18:07:17,LivingRoom,LivingRoom,0 days 00:01:42,2011-6-17,2011-06-17 18:05:35
Watch_TV,2011-06-17 18:07:19,M004,2011-06-17 18:29:32,LivingRoom,Chair,0 days 00:22:13,2011-6-17,2011-06-17 18:07:19
Cook_Dinner,2011-06-17 18:29:48,M007,2011-06-17 18:45:16,Kitchen,Kitchen,0 days 00:15:28,2011-6-17,2011-06-17 18:29:48
Eat_Dinner,2011-06-17 18:45:29,M005,2011-06-17 18:58:53,DiningRoom,DiningRoom,0 days 00:13:24,2011-6-17,2011-06-17 18:45:29
Phone,2011-06-17 18:59:01,M004,2011-06-17 19:01:59,LivingRoom,LivingRoom,0 days 00:02:58,2011-6-17,2011-06-17 18:59:01
Wash_Dinner_Dishes,2011-06-17 19:02:02,M007,2011-06-17 19:05:02,Kitchen,Kitchen,0 days 00:03:00,2011-6-17,2011-06-17 19:02:02
Watch_TV,2011-06-17 19:05:16,M004,2011-06-17 19:36:54,LivingRoom,LivingRoom,0 days 00:31:38,2011-6-17,2011-06-17 19:05:16
Wash_Dishes,2011-06-17 19:36:56,M007,2011-06-17 19:44:24,Kitchen,Kitchen,0 days 00:07:28,2011-6-17,2011-06-17 19:36:56
Watch_TV,2011-06-17 19:44:43,M004,2011-06-17 19:57:47,LivingRoom,Chair,0 days 00:13:04,2011-6-17,2011-06-17 19:44:43
Dress,2011-06-17 19:58:30,MA020,2011-06-17 20:01:39,Bedroom,Closet,0 days 00:03:09,2011-6-17,2011-06-17 19:58:30
Work_At_Table,2011-06-17 20:28:27,M005,2011-06-17 20:33:23,DiningRoom,DiningRoom,0 days 00:04:56,2011-6-17,2011-06-17 20:28:27
Personal_Hygiene,2011-06-17 20:34:11,MA013,2011-06-17 21:17:48,Bathroom,Bathroom,0 days 00:43:37,2011-6-17,2011-06-17 20:34:11
Read,2011-06-17 21:18:28,M021,2011-06-17 22:36:11,Bedroom,Bed,0 days 01:17:43,2011-6-17,2011-06-17 21:18:28
Sleep,2011-06-17 22:48:52,M021,2011-06-17 23:59:59,Bedroom,Bed,0 days 01:11:07,2011-6-17,2011-06-17 22:48:52
Sleep,2011-06-18 00:00:00,M021,2011-06-18 07:33:28,,,0 days 07:33:28,2011-6-18,2011-06-18 00:00:00
Toilet,2011-06-18 07:35:04,MA013,2011-06-18 07:37:33,Bathroom,Bathroom,0 days 00:02:29,2011-6-18,2011-06-18 07:35:04
Morning_Meds,2011-06-18 07:38:43,MA013,2011-06-18 07:39:15,Bathroom,Bathroom,0 days 00:00:32,2011-6-18,2011-06-18 07:38:43
Read,2011-06-18 07:41:42,M021,2011-06-18 08:53:11,Bedroom,Bed,0 days 01:11:29,2011-6-18,2011-06-18 07:41:42
Sleep,2011-06-18 08:53:12,M021,2011-06-18 11:16:53,Bedroom,Bed,0 days 02:23:41,2011-6-18,2011-06-18 08:53:12
Dress,2011-06-18 11:17:03,MA020,2011-06-18 11:18:47,Bedroom,Bedroom,0 days 00:01:44,2011-6-18,2011-06-18 11:17:03
Personal_Hygiene,2011-06-18 11:19:04,MA013,2011-06-18 11:25:37,Bathroom,Bathroom,0 days 00:06:33,2011-6-18,2011-06-18 11:19:04
Take_Medicine,2011-06-18 11:25:42,MA013,2011-06-18 11:26:42,Bathroom,Bathroom,0 days 00:01:00,2011-6-18,2011-06-18 11:25:42
Dress,2011-06-18 11:26:46,M019,2011-06-18 11:31:35,Bedroom,Bedroom,0 days 00:04:49,2011-6-18,2011-06-18 11:26:46
Cook_Breakfast,2011-06-18 11:34:53,M007,2011-06-18 11:43:42,Kitchen,Kitchen,0 days 00:08:49,2011-6-18,2011-06-18 11:34:53
Eat_Breakfast,2011-06-18 11:45:01,M005,2011-06-18 12:03:13,DiningRoom,DiningRoom,0 days 00:18:12,2011-6-18,2011-06-18 11:45:01
Wash_Breakfast_Dishes,2011-06-18 12:03:31,M008,2011-06-18 12:04:15,Kitchen,Kitchen,0 days 00:00:44,2011-6-18,2011-06-18 12:03:31
Work_At_Table,2011-06-18 12:04:31,M005,2011-06-18 12:22:02,DiningRoom,DiningRoom,0 days 00:17:31,2011-6-18,2011-06-18 12:04:31
Drink,2011-06-18 12:22:03,M007,2011-06-18 12:23:55,Kitchen,Kitchen,0 days 00:01:52,2011-6-18,2011-06-18 12:22:03
Sleep_Out_Of_Bed,2011-06-18 12:24:13,M004,2011-06-18 14:47:45,LivingRoom,LivingRoom,0 days 02:23:32,2011-6-18,2011-06-18 12:24:13
Toilet,2011-06-18 14:52:06,MA013,2011-06-18 14:58:48,Bathroom,Bathroom,0 days 00:06:42,2011-6-18,2011-06-18 14:52:06
Personal_Hygiene,2011-06-18 15:05:50,MA013,2011-06-18 15:28:01,Bathroom,Bathroom,0 days 00:22:11,2011-6-18,2011-06-18 15:05:50
Relax,2011-06-18 15:28:15,MA010,2011-06-18 15:39:50,LivingRoom,LivingRoom,0 days 00:11:35,2011-6-18,2011-06-18 15:28:15
Sleep_Out_Of_Bed,2011-06-18 15:40:10,M004,2011-06-18 16:13:40,LivingRoom,Chair,0 days 00:33:30,2011-6-18,2011-06-18 15:40:10
Relax,2011-06-18 16:13:51,M004,2011-06-18 16:16:54,LivingRoom,Chair,0 days 00:03:03,2011-6-18,2011-06-18 16:13:51
Toilet,2011-06-18 16:17:08,MA013,2011-06-18 16:21:31,Bathroom,Bathroom,0 days 00:04:23,2011-6-18,2011-06-18 16:17:08
Bathe,2011-06-18 16:22:29,MA013,2011-06-18 16:43:02,Bathroom,Bathroom,0 days 00:20:33,2011-6-18,2011-06-18 16:22:29
Dress,2011-06-18 16:43:11,MA020,2011-06-18 16:49:46,Bedroom,Bedroom,0 days 00:06:35,2011-6-18,2011-06-18 16:43:11
Drink,2011-06-18 16:50:32,M007,2011-06-18 16:51:23,Kitchen,Kitchen,0 days 00:00:51,2011-6-18,2011-06-18 16:50:32
Watch_TV,2011-06-18 16:52:20,M004,2011-06-18 17:02:09,LivingRoom,Chair,0 days 00:09:49,2011-6-18,2011-06-18 16:52:20
